Country,density,agriculturalLand,landArea,armedForcesSize,birthRate,co2Emissions,fertilityRate,forestedArea,gasolinePrice,gdp,grossPrimaryEducationEnrollment,grossTertiaryEducationEnrollment,infantMortality,lifeExpectancy,maternalMortalityRatio
"Afghanistan",60,58.1,65223,323,32.49,8672,4.47,11.2,0.7,19101353833,104,9.7,47.9,64.5,638
"Albania",105,43.1,28748,9,11.78,4536,1.62,16.3,1.36,15278077447,107,55,7.8,78.5,15
"Algeria",18,17.4,2381741,317,24.28,150006,3.02,0.8,0.28,169988236398,109.9,51.4,20.1,76.7,112
"Andorra",164,40,468,0,7.2,469,1.27,31.7,1.51,3154057987,106.4,,2.7,84,
"Angola",26,47.5,1246700,117,40.73,34693,5.52,40.7,0.97,94635415870,113.5,9.3,51.6,60.8,241
"Antigua and Barbuda",223,20.5,443,0,15.33,557,1.99,12.5,0.99,1727759259,105,24.8,5,76.9,42
"Argentina",17,54.3,2780400,105,17.02,201348,2.26,88.4,1.1,449663446954,109.7,90,8.8,76.5,39
"Armenia",104,58.9,29743,49,13.99,5156,1.76,3.5,0.77,13672802158,92.7,54.6,11,74.9,26
"Australia",3,48.2,7741220,58,12.6,375908,1.74,8.8,0.93,1392680589329,100.3,113.1,3.1,82.7,6
"Austria",109,32.4,83871,21,9.7,61448,1.47,41.2,1.2,446314739528,103.1,85.1,2.9,81.6,5
"Azerbaijan",123,57.7,866,82,14,3762,1.73,7.6,0.56,39207000000,99.7,27.7,19.2,72.9,26
"Bahamas",,,,1,13.97,1786,,,,12827000000,,,8.3,73.8,
"Bahrain",2239,11.1,765,19,13.99,31694,1.99,0.8,0.43,38574069149,99.4,50.5,6.1,77.2,14
"Bangladesh",1265,70.6,14846,221,18.18,84246,2.04,3.3,1.12,302571254131,116.5,20.6,25.1,72.3,173
"Barbados",668,23.3,430,1,10.65,1276,1.62,7.8,1.81,5209000000,99.4,65.4,11.3,79.1,27
"Belarus",47,42,2076,155,9.9,5828,1.45,36.9,0.6,63080457023,100.5,87.4,2.6,74.2,2
"Belgium",383,44.6,30528,32,10.3,96889,1.62,12.6,1.43,529606710418,103.9,79.7,2.9,81.6,5
"Belize",17,7,22966,2,20.79,568,2.31,51.4,1.13,1879613600,111.7,24.7,11.2,74.5,36
"Benin",108,33.3,112622,12,36.22,6476,4.84,33.9,0.72,14390709095,122,12.3,60.5,61.5,397
"Bhutan",20,13.6,38394,6,17.26,1261,1.98,68.5,0.98,2446674101,100.1,15.6,24.8,71.5,183
"Bolivia",11,34.8,1098581,71,21.75,21606,2.73,43.1,0.71,40895322865,98.2,,21.8,71.2,155
"Bosnia and Herzegovina",64,43.1,51197,11,8.11,21848,1.27,37.7,1.05,20047848435,,23.3,5,77.3,10
"Botswana",4,45.6,581730,9,24.82,634,2.87,10,0.71,18340510789,103.2,24.9,30,69.3,144
"Brazil",25,,8515770,730,13.92,462299,1.73,58.9,1.05,1839758040766,,,12.8,75.7,
